"DateTime","Users","Users Trend","In-Game"
"2023-11-18 04:30:00",21358883,24738321,5602409
"2023-11-18 04:40:00",21403438,24744169,5633076
"2023-11-18 04:50:00",21440889,24750193,5659877
"2023-11-18 05:00:00",21460419,24756318,5673334
"2023-11-18 05:10:00",21461860,24762538,5712915
"2023-11-18 05:20:00",21468439,24768950,5739408
"2023-11-18 05:30:00",21464966,24775549,5761482
"2023-11-18 05:40:00",21459698,24782336,5796592
"2023-11-18 05:50:00",21466849,24789351,5814658
"2023-11-18 06:00:00",21470663,24796570,5823169
"2023-11-18 06:10:00",21465456,24803938,5826208
"2023-11-18 06:20:00",21463304,24811424,5832873
"2023-11-18 06:30:00",21495201,24819097,5845274
"2023-11-18 06:40:00",21531809,24826774,5856766
"2023-11-18 06:50:00",21576581,24834479,5865502
"2023-11-18 07:00:00",21621967,24842144,5866913
"2023-11-18 07:10:00",21685471,24849979,5885716
"2023-11-18 07:20:00",21753800,24857827,5900412
"2023-11-18 07:30:00",21837445,24865770,5923901
"2023-11-18 07:40:00",21927221,24873784,5945357
"2023-11-18 07:50:00",22032911,24881891,5968422
"2023-11-18 08:00:00",22152476,24890197,5973474
"2023-11-18 08:10:00",22261146,24898704,6000293
"2023-11-18 08:20:00",22383265,24907505,6029314
"2023-11-18 08:30:00",22477346,24916587,6039974
"2023-11-18 08:40:00",22635465,24926132,6067095
"2023-11-18 08:50:00",22800369,24935694,6084934
"2023-11-18 09:00:00",22851072,24945396,6078845
"2023-11-18 09:10:00",22947808,24955818,6065519
"2023-11-18 09:20:00",23172543,24966651,6094291
"2023-11-18 09:30:00",23336580,24977000,6103678
"2023-11-18 09:40:00",23518496,24987209,6134083
"2023-11-18 09:50:00",23730176,24997647,6159590
"2023-11-18 10:00:00",23937610,25008157,6183688
"2023-11-18 10:10:00",24146436,25018466,6233562
"2023-11-18 10:20:00",24395081,25028734,6306015
"2023-11-18 10:30:00",24671411,25038838,6395302
"2023-11-18 10:40:00",24945040,25048647,6497665
"2023-11-18 10:50:00",25227573,25058325,6622689
"2023-11-18 11:00:00",25509533,25067767,6721045
"2023-11-18 11:10:00",25789816,25077092,6858242
"2023-11-18 11:20:00",26128999,25086368,7015976
"2023-11-18 11:30:00",26402454,25095179,7152441
"2023-11-18 11:40:00",26705175,25104135,7301990
"2023-11-18 11:50:00",27021561,25113065,7457812
"2023-11-18 12:00:00",27327972,25121832,7603113
"2023-11-18 12:10:00",27628171,25130463,7764791
"2023-11-18 12:20:00",27931721,25139177,7919993
"2023-11-18 12:30:00",28223963,25147835,8075124
"2023-11-18 12:40:00",28497699,25156551,8196492
"2023-11-18 12:50:00",28777261,25165318,8333356
"2023-11-18 13:00:00",29034536,25174391,8464268
"2023-11-18 13:10:00",29290932,25183406,8603644
"2023-11-18 13:20:00",29533495,25192556,8737363
"2023-11-18 13:30:00",29747554,25201637,8849297
"2023-11-18 13:40:00",29965360,25210479,8962800
"2023-11-18 13:50:00",30128703,25219188,9039522
"2023-11-18 14:00:00",30276552,25227704,9108966
"2023-11-18 14:10:00",30417473,25235487,9185600
"2023-11-18 14:20:00",30531287,25242582,9239267
"2023-11-18 14:30:00",30567926,25248983,9253915
"2023-11-18 14:40:00",30593498,25254772,9261600
"2023-11-18 14:50:00",30589782,25259689,9254163
"2023-11-18 15:00:00",30530822,25263758,9210724
"2023-11-18 15:10:00",30388521,25266781,9140669
"2023-11-18 15:20:00",30280285,25268071,9087644
"2023-11-18 15:30:00",30137885,25268513,9015428
"2023-11-18 15:40:00",29941188,25267937,8928404
"2023-11-18 15:50:00",29740050,25266663,8836248
"2023-11-18 16:00:00",29518327,25265042,8726036
"2023-11-18 16:10:00",29225678,25262927,8606633
"2023-11-18 16:20:00",29007089,25260664,8517114
"2023-11-18 16:30:00",28798200,25258340,8430772
"2023-11-18 16:40:00",28572817,25256084,8337398
"2023-11-18 16:50:00",28371431,25253979,8251999
"2023-11-18 17:00:00",28176615,25252184,8154964
"2023-11-18 17:10:00",27972256,25250655,8069281
"2023-11-18 17:20:00",27805055,25249625,8000221
"2023-11-18 17:30:00",27615937,25249030,7926740
"2023-11-18 17:40:00",27503038,25249155,7875663
"2023-11-18 17:50:00",27375689,25249506,7826513
"2023-11-18 18:00:00",27245347,25250280,7771787
"2023-11-18 18:10:00",27109650,25251594,7718837
"2023-11-18 18:20:00",26995454,25253301,7678856
"2023-11-18 18:30:00",26883195,25255451,7640993
"2023-11-18 18:40:00",26794421,25257986,7609990
"2023-11-18 18:50:00",26704671,25260753,7580238
"2023-11-18 19:00:00",26611788,25263726,7541212
"2023-11-18 19:10:00",26519530,25266795,7516518
"2023-11-18 19:20:00",26418176,25269781,7494893
"2023-11-18 19:30:00",26334084,25272813,7475586
"2023-11-18 19:40:00",26245241,25275741,7454740
"2023-11-18 19:50:00",26150429,25278494,7422000
"2023-11-18 20:00:00",26047233,25281064,7385054
"2023-11-18 20:10:00",25926588,25283283,7354586
"2023-11-18 20:20:00",25820183,25284787,7323376
"2023-11-18 20:30:00",25701809,25285754,7285703
"2023-11-18 20:40:00",25592797,25285923,7255342
"2023-11-18 20:50:00",25472002,25285402,7214652
"2023-11-18 21:00:00",25310464,25283816,7157384
"2023-11-18 21:10:00",25123940,25281322,7089978
"2023-11-18 21:20:00",24969616,25277808,7030393
"2023-11-18 21:30:00",24785878,25273144,6964969
"2023-11-18 21:40:00",24590996,25267699,6891575
"2023-11-18 21:50:00",24397378,25261292,6821722
"2023-11-18 22:00:00",24192357,25253931,6751670
"2023-11-18 22:10:00",23943666,25245870,6659607
"2023-11-18 22:20:00",23715517,25237057,6566145
"2023-11-18 22:30:00",23484484,25227699,6467145
"2023-11-18 22:40:00",23259355,25217749,6368929
"2023-11-18 22:50:00",23032186,25207187,6272437
"2023-11-18 23:00:00",22793156,25196291,6162650
"2023-11-18 23:10:00",22546263,25185026,6053175
"2023-11-18 23:20:00",22306872,25173499,5955147
"2023-11-18 23:30:00",22089404,25161906,5859608
"2023-11-18 23:40:00",21898655,25150222,5776732
"2023-11-18 23:50:00",21708205,25138610,5693551
"2023-11-19 00:00:00",21559888,25127222,5620774
"2023-11-19 00:10:00",21330039,25115888,5542142
"2023-11-19 00:20:00",21227997,25105316,5499288
"2023-11-19 00:30:00",21129951,25094901,5460436
"2023-11-19 00:40:00",21058647,25084811,5431797
"2023-11-19 00:50:00",20997138,25075038,5414865
"2023-11-19 01:00:00",20967708,25065577,5400498
"2023-11-19 01:10:00",20956618,25056336,5408332
"2023-11-19 01:20:00",20983309,25047234,5427810
"2023-11-19 01:30:00",21021261,25038101,5454125
"2023-11-19 01:40:00",21095825,25028809,5496817
"2023-11-19 01:50:00",21170265,25019126,5537982
"2023-11-19 02:00:00",21248561,25009151,5581639
"2023-11-19 02:10:00",21335580,24998838,5635769
"2023-11-19 02:20:00",21441423,24988157,5698211
"2023-11-19 02:30:00",21547646,24976985,5754313
"2023-11-19 02:40:00",21652506,24965230,5811459
"2023-11-19 02:50:00",21767267,24952866,5863655
"2023-11-19 03:00:00",21850761,24939757,5893668
"2023-11-19 03:10:00",21920931,24925908,5919717
"2023-11-19 03:20:00",21997940,24911169,5948612
"2023-11-19 03:30:00",22055979,24895513,5962327
"2023-11-19 03:40:00",22130439,24879078,5977839
"2023-11-19 03:50:00",22204300,24861768,5990513
"2023-11-19 04:00:00",22244992,24843771,5992196
"2023-11-19 04:10:00",22305850,24825453,6016019
"2023-11-19 04:20:00",22374997,24806806,6049877
"2023-11-19 04:30:00",22441277,24789721,6082698
"2023-11-19 04:40:00",22509497,24772257,6124963
"2023-11-19 04:50:00",22560843,24754289,6157088
"2023-11-19 05:00:00",22594599,24735632,6181420
"2023-11-19 05:10:00",22624390,24716092,6217975
"2023-11-19 05:20:00",22659208,24695328,6250294
"2023-11-19 05:30:00",22684213,24673383,6280271
"2023-11-19 05:40:00",22712778,24650392,6305092
"2023-11-19 05:50:00",22750299,24626374,6318018
"2023-11-19 06:00:00",22777200,24601330,6322191
"2023-11-19 06:10:00",22790646,24575540,6338110
"2023-11-19 06:20:00",22814706,24549124,6355128
"2023-11-19 06:30:00",22846084,24522127,6370742
"2023-11-19 06:40:00",22884976,24494677,6385375
"2023-11-19 06:50:00",22922130,24466854,6396197
"2023-11-19 07:00:00",22989330,24438742,6397447
"2023-11-19 07:10:00",23051160,24410237,6407202
"2023-11-19 07:20:00",23128879,24381579,6415396
"2023-11-19 07:30:00",23218065,24352635,6417754
"2023-11-19 07:40:00",23315282,24323523,6417833
"2023-11-19 07:50:00",23442879,24294263,6409006
"2023-11-19 08:00:00",23585444,24264908,6325621
"2023-11-19 08:10:00",23729815,24235510,6267737
"2023-11-19 08:20:00",23887529,24205934,6281004
"2023-11-19 08:30:00",24039526,24176085,6263223
"2023-11-19 08:40:00",24189990,24146119,6254096
"2023-11-19 08:50:00",24373253,24115998,6244301
"2023-11-19 09:00:00",24523557,24085716,6210975
"2023-11-19 09:10:00",24666256,24055295,6164888
"2023-11-19 09:20:00",24810098,24024770,6146998
"2023-11-19 09:30:00",24942448,23994391,6208580
"2023-11-19 09:40:00",25144175,23964033,6265716
"2023-11-19 09:50:00",25353368,23933579,6267635
"2023-11-19 10:00:00",25518022,23903021,6265686
"2023-11-19 10:10:00",25704520,23872679,6303992
"2023-11-19 10:20:00",25910976,23842418,6400538
"2023-11-19 10:30:00",26125950,23812341,6500954
"2023-11-19 10:40:00",26361468,23782293,6583064
"2023-11-19 10:50:00",26590434,23752366,6643639
"2023-11-19 11:00:00",26836500,23722565,6715764
"2023-11-19 11:10:00",27086460,23692959,6888478
"2023-11-19 11:20:00",27338676,23663779,7090092
"2023-11-19 11:30:00",27613000,23634960,7265130
"2023-11-19 11:40:00",27890115,23606319,7467833
"2023-11-19 11:50:00",28161494,23577993,7647107
"2023-11-19 12:00:00",28427396,23549941,7805570
"2023-11-19 12:10:00",28718772,23522174,7983613
"2023-11-19 12:20:00",28993945,23494617,8147623
"2023-11-19 12:30:00",29275903,23467566,8315415
"2023-11-19 12:40:00",29537885,23440714,8465490
"2023-11-19 12:50:00",29844907,23414044,8619789
"2023-11-19 13:00:00",30076087,23387783,8735032
"2023-11-19 13:10:00",30335617,23362191,8873604
"2023-11-19 13:20:00",30553264,23336674,8992717
"2023-11-19 13:30:00",30717188,23311615,9097794
"2023-11-19 13:40:00",30904095,23287442,9184600
"2023-11-19 13:50:00",31028835,23263831,9238947
"2023-11-19 14:00:00",31058468,23240725,9255239
"2023-11-19 14:10:00",31089597,23218250,9261601
"2023-11-19 14:20:00",31098385,23196162,9261405
"2023-11-19 14:30:00",31042495,23174380,9222441
"2023-11-19 14:40:00",30939003,23152937,9166076
"2023-11-19 14:50:00",30813719,23131809,9091662
"2023-11-19 15:00:00",30609626,23110917,8974915
"2023-11-19 15:10:00",30217060,23090027,8812034
"2023-11-19 15:20:00",29992693,23069761,8715877
"2023-11-19 15:30:00",29712503,23049669,8591153
"2023-11-19 15:40:00",29425832,23029901,8482081
"2023-11-19 15:50:00",29188557,23010423,8378748
"2023-11-19 16:00:00",28913681,22991184,8254768
"2023-11-19 16:10:00",28614127,22972414,8142366
"2023-11-19 16:20:00",28400988,22953950,8042293
"2023-11-19 16:30:00",28218151,22935970,7965662
"2023-11-19 16:40:00",28029171,22918535,7896244
"2023-11-19 16:50:00",27887962,22901720,7839976
"2023-11-19 17:00:00",27747244,22885344,7771689
"2023-11-19 17:10:00",27629391,22869641,7732094
"2023-11-19 17:20:00",27540832,22854430,7701227
"2023-11-19 17:30:00",27467693,22839700,7670361
"2023-11-19 17:40:00",27397628,22825488,7643861
